def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(ECMD_SUPPORT),
def(ECMD_SENDER_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(PORTIO_SUPPORT),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
def(CLOCK_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
