def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
!def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
True,
def(UECMD_SUPPORT),
def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(ECMD_PARSER_SUPPORT),
def(ECMD_SUPPORT),
def(TFTP_SUPPORT),
