def(MODBUS_SUPPORT),
def(DEBUG),
!def(BOOTLOADER_SUPPORT),
def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
!def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
def(UECMD_SUPPORT),
def(DATAFLASH_SUPPORT),
def(DYNDNS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
True,
def(NAMED_PIN_SUPPORT),
def(YPORT_SUPPORT),
