!def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
True,
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(ECMD_SUPPORT),
def(MODBUS_SUPPORT),
def(DYNDNS_SUPPORT),
def(CLOCK_SUPPORT),
