def(TFTP_SUPPORT),
def(NAMED_PIN_SUPPORT),
True,
def(DYNDNS_SUPPORT),
!def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(UECMD_SUPPORT),
def(CLOCK_SUPPORT),
def(DEBUG),
