def(CLOCK_SUPPORT),
def(UECMD_SUPPORT),
def(YPORT_SUPPORT),
def(MODBUS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DEBUG),
def(TFTP_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(BOOTLOADER_SUPPORT),
!def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
True,
def(PORTIO_SUPPORT),
