(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(ECMD_SUPPORT),
!def(BOOTLOADER_SUPPORT),
True,
def(PORTIO_SUPPORT),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
def(ECMD_PARSER_SUPPORT),
def(YPORT_SUPPORT),
def(DNS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(DYNDNS_SUPPORT),
def(CLOCK_SUPPORT),
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
