def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DEBUG),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(ECMD_SENDER_SUPPORT),
