def(YPORT_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(CLOCK_SUPPORT),
def(UECMD_SUPPORT),
def(ECMD_PARSER_SUPPORT),
def(PORTIO_SUPPORT),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(ECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
