def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
def(DEBUG),
def(CLOCK_SUPPORT),
def(YPORT_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
def(HD44780_SUPPORT),
!def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DYNDNS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
