def(ENC28J60_SUPPORT),
def(PORTIO_SUPPORT),
def(DNS_SUPPORT),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
(def(STELLA_RESPONSE)&def(STELLA_SUPPORT)),
def(YPORT_SUPPORT),
def(MODBUS_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(C6_ECMD_USED),
True,
def(DYNDNS_SUPPORT),
(!def(STELLA_GAMMACORRECTION)&def(DEBUG_STELLA)),
!def(HD44780_SUPPORT),
(!def(BOOTLOADER_SUPPORT)&def(ENC28J60_SUPPORT)),
