def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
!def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(UECMD_SUPPORT),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
def(DEBUG),
True,
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(PORTIO_SUPPORT),
def(HD44780_SUPPORT),
