def(DATAFLASH_SUPPORT),
def(PORTIO_SUPPORT),
def(DEBUG),
True,
def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
def(HD44780_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
