def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
def(YPORT_SUPPORT),
def(ECMD_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
def(ECMD_SENDER_SUPPORT),
def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(PORTIO_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
