def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DYNDNS_SUPPORT),
True,
def(MODBUS_SUPPORT),
!def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
def(DEBUG),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
