def(NAMED_PIN_SUPPORT),
def(DYNDNS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(UECMD_SUPPORT),
def(DEBUG),
def(HD44780_SUPPORT),
True,
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
!def(HD44780_SUPPORT),
