def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(YPORT_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(BOOTLOADER_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
def(CLOCK_SUPPORT),
def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
True,
def(NAMED_PIN_SUPPORT),
