def(CLOCK_SUPPORT),
def(ECMD_SENDER_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
def(TFTP_SUPPORT),
def(UECMD_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
True,
def(DYNDNS_SUPPORT),
def(YPORT_SUPPORT),
!def(BOOTLOADER_SUPPORT),
