def(CLOCK_SUPPORT),
def(DEBUG),
def(NAMED_PIN_SUPPORT),
def(YPORT_SUPPORT),
!def(BOOTLOADER_SUPPORT),
True,
def(TFTP_SUPPORT),
!def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
