def(TFTP_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(HD44780_SUPPORT),
def(ECMD_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(DNS_SUPPORT),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
def(MODBUS_SUPPORT),
def(ECMD_PARSER_SUPPORT),
def(DYNDNS_SUPPORT),
def(YPORT_SUPPORT),
True,
def(CLOCK_SUPPORT),
def(PORTIO_SUPPORT),
!def(BOOTLOADER_SUPPORT),
