def(PORTIO_SUPPORT),
def(DYNDNS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
True,
def(ECMD_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
def(ECMD_PARSER_SUPPORT),
def(MODBUS_SUPPORT),
def(DNS_SUPPORT),
