def(TFTP_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
True,
def(PORTIO_SUPPORT),
def(ECMD_PARSER_SUPPORT),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
def(CLOCK_SUPPORT),
!def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DATAFLASH_SUPPORT),
def(MODBUS_SUPPORT),
def(ECMD_SUPPORT),
