(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(TFTP_SUPPORT),
def(ECMD_SUPPORT),
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
def(CLOCK_SUPPORT),
def(YPORT_SUPPORT),
def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(DNS_SUPPORT),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
!def(BOOTLOADER_SUPPORT),
True,
def(ECMD_PARSER_SUPPORT),
def(DYNDNS_SUPPORT),
!def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
