def(DNS_SUPPORT),
!def(HD44780_SUPPORT),
(def(STELLA_RESPONSE)&def(STELLA_SUPPORT)),
def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
def(MODBUS_SUPPORT),
def(ECMD_SUPPORT),
True,
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(ECMD_PARSER_SUPPORT),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
def(TFTP_SUPPORT),
def(DYNDNS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
(!def(STELLA_GAMMACORRECTION)&def(DEBUG_STELLA)),
