def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(PORTIO_SUPPORT),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
def(DEBUG),
!def(BOOTLOADER_SUPPORT),
True,
