def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_PARSER_SUPPORT),
def(YPORT_SUPPORT),
def(CRON_SUPPORT),
def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(ECMD_SUPPORT),
def(CLOCK_SUPPORT),
def(STELLA_GAMMACORRECTION),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DNS_SUPPORT),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
def(STELLA_SUPPORT),
!def(HD44780_SUPPORT),
(def(STELLA_RESPONSE)&def(STELLA_SUPPORT)),
True,
!def(STELLA_GAMMACORRECTION),
def(DYNDNS_SUPPORT),
