!def(HD44780_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
True,
def(NAMED_PIN_SUPPORT),
def(DATAFLASH_SUPPORT),
def(UECMD_SUPPORT),
def(CLOCK_SUPPORT),
def(DEBUG),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DYNDNS_SUPPORT),
