def(DNS_SUPPORT),
def(CLOCK_SUPPORT),
def(ECMD_SUPPORT),
def(DATAFLASH_SUPPORT),
def(YPORT_SUPPORT),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
def(DYNDNS_SUPPORT),
def(ECMD_PARSER_SUPPORT),
!def(BOOTLOADER_SUPPORT),
!def(HD44780_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
(def(STELLA_RESPONSE_ACK)&def(STELLA_SUPPORT)),
True,
def(TFTP_SUPPORT),
def(UECMD_SUPPORT),
def(MODBUS_SUPPORT),
def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
