def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
def(YPORT_SUPPORT),
True,
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(DYNDNS_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_SUPPORT),
def(TFTP_SUPPORT),
def(ECMD_PARSER_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
