!def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(DATAFLASH_SUPPORT),
def(CLOCK_SUPPORT),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
True,
def(ECMD_SENDER_SUPPORT),
def(DEBUG),
def(TFTP_SUPPORT),
def(PORTIO_SUPPORT),
