def(PORTIO_SUPPORT),
True,
def(TFTP_SUPPORT),
def(DYNDNS_SUPPORT),
!def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(DEBUG),
def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
