def(PORTIO_SUPPORT),
def(DYNDNS_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DATAFLASH_SUPPORT),
def(DEBUG),
True,
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
!def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(YPORT_SUPPORT),
