def(NAMED_PIN_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
True,
def(YPORT_SUPPORT),
def(DEBUG),
!def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(BOOTLOADER_SUPPORT),
