def(TFTP_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(DYNDNS_SUPPORT),
True,
def(ECMD_SENDER_SUPPORT),
def(CLOCK_SUPPORT),
def(HD44780_SUPPORT),
!def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(DATAFLASH_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
def(DEBUG),
