def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(DYNDNS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(CLOCK_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
True,
def(PORTIO_SUPPORT),
def(DATAFLASH_SUPPORT),
