def(DATAFLASH_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(!def(TEENSY_SUPPORT)&def(USART_SUPPORT)),
def(HD44780_SUPPORT),
def(DEBUG),
True,
def(TFTP_SUPPORT),
def(YPORT_SUPPORT),
def(MODBUS_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(CLOCK_SUPPORT),
def(DYNDNS_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_SENDER_SUPPORT),
