def(DATAFLASH_SUPPORT),
!def(HD44780_SUPPORT),
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
True,
def(ECMD_PARSER_SUPPORT),
def(UECMD_SUPPORT),
def(MODBUS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(ECMD_SUPPORT),
def(PORTIO_SUPPORT),
