def(PORTIO_SUPPORT),
def(UECMD_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
def(DEBUG),
!def(HD44780_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(DYNDNS_SUPPORT),
True,
def(CLOCK_SUPPORT),
def(YPORT_SUPPORT),
!def(BOOTLOADER_SUPPORT),
