def(YPORT_SUPPORT),
def(DYNDNS_SUPPORT),
def(UECMD_SUPPORT),
True,
!def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(TFTP_SUPPORT),
def(MODBUS_SUPPORT),
def(DEBUG),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
