def(DATAFLASH_SUPPORT),
def(MODBUS_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(DEBUG),
def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
True,
def(YPORT_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(TFTP_SUPPORT),
!def(HD44780_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
def(CLOCK_SUPPORT),
def(USB_NET_SUPPORT),
