def(CLOCK_SUPPORT),
def(UECMD_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(HD44780_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(YPORT_SUPPORT),
!def(HD44780_SUPPORT),
!def(BOOTLOADER_SUPPORT),
True,
def(DEBUG),
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
def(DATAFLASH_SUPPORT),
