(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(YPORT_SUPPORT),
def(MODBUS_SUPPORT),
def(HD44780_SUPPORT),
def(ECMD_PARSER_SUPPORT),
def(CLOCK_SUPPORT),
def(TFTP_SUPPORT),
def(PORTIO_SUPPORT),
!def(HD44780_SUPPORT),
True,
!def(BOOTLOADER_SUPPORT),
def(ECMD_SUPPORT),
def(UECMD_SUPPORT),
def(DATAFLASH_SUPPORT),
def(DYNDNS_SUPPORT),
