def(DATAFLASH_SUPPORT),
def(DEBUG),
!def(BOOTLOADER_SUPPORT),
def(PORTIO_SUPPORT),
!def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
def(MODBUS_SUPPORT),
def(CLOCK_SUPPORT),
def(DYNDNS_SUPPORT),
def(UECMD_SUPPORT),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
True,
def(YPORT_SUPPORT),
