def(ECMD_SENDER_SUPPORT),
def(HC595_SUPPORT),
def(DEBUG),
True,
def(MDNS_SD_SUPPORT),
def(TFTP_SUPPORT),
def(MODBUS_SUPPORT),
def(DATAFLASH_SUPPORT),
def(UECMD_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(PSOCK_SUPPORT),
def(YPORT_SUPPORT),
def(HC165_SUPPORT),
def(CLOCK_SUPPORT),
def(DYNDNS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(HD44780_SUPPORT),
!def(HD44780_SUPPORT),
