def(HD44780_SUPPORT),
!def(HD44780_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
def(DATAFLASH_SUPPORT),
True,
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(ECMD_SUPPORT),
def(CLOCK_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(PORTIO_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
