def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
True,
def(ECMD_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(DATAFLASH_SUPPORT),
def(UECMD_SUPPORT),
!def(HD44780_SUPPORT),
def(UECMD_SENDER_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(CLOCK_SUPPORT),
def(DYNDNS_SUPPORT),
