!def(BOOTLOADER_SUPPORT),
def(HD44780_SUPPORT),
True,
!def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
def(DEBUG),
def(TFTP_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
def(MODBUS_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(ECMD_SENDER_SUPPORT),
