def(DYNDNS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
True,
def(UECMD_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(HD44780_SUPPORT),
def(HD44780_SUPPORT),
def(ECMD_SENDER_SUPPORT),
def(CLOCK_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(DEBUG),
def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
def(TFTP_SUPPORT),
