def(ECMD_SENDER_SUPPORT),
True,
def(MODBUS_SUPPORT),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
!def(HD44780_SUPPORT),
def(TFTP_SUPPORT),
def(HD44780_SUPPORT),
def(UECMD_SUPPORT),
def(NAMED_PIN_SUPPORT),
def(DYNDNS_SUPPORT),
def(DEBUG),
!def(BOOTLOADER_SUPPORT),
def(YPORT_SUPPORT),
