def(DNS_SUPPORT),
(!def(BOOTLOADER_SUPPORT)&def(ENC28J60_SUPPORT)),
def(DYNDNS_SUPPORT),
def(HD44780_SUPPORT),
def(MCUF_MODUL_BORG16_INVADERS_SUPPORT),
(def(STELLA_RESPONSE)&def(STELLA_SUPPORT)),
def(MODBUS_SUPPORT),
def(ENC28J60_SUPPORT),
def(TFTP_SUPPORT),
(!def(STELLA_GAMMACORRECTION)&def(DEBUG_STELLA)),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
!def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(PORTIO_SUPPORT),
def(C6_ECMD_USED),
True,
