def(ECMD_SUPPORT),
def(HD44780_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
True,
def(DYNDNS_SUPPORT),
def(TFTP_SUPPORT),
def(CLOCK_SUPPORT),
def(DATAFLASH_SUPPORT),
def(ECMD_SENDER_SUPPORT),
!def(BOOTLOADER_SUPPORT),
def(MODBUS_SUPPORT),
!def(HD44780_SUPPORT),
def(YPORT_SUPPORT),
def(PORTIO_SUPPORT),
def(UECMD_SUPPORT),
