def(DYNDNS_SUPPORT),
def(UECMD_SUPPORT),
def(PORTIO_SUPPORT),
True,
def(ECMD_SENDER_SUPPORT),
def(MODBUS_SUPPORT),
def(YPORT_SUPPORT),
def(CLOCK_SUPPORT),
def(TFTP_SUPPORT),
!def(HD44780_SUPPORT),
def(DEBUG),
!def(BOOTLOADER_SUPPORT),
def(DATAFLASH_SUPPORT),
def(HD44780_SUPPORT),
