!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
True,
def(THUMB_DEBUG),
def(HAVE_XTEST),
!def(HAVE_XTEST),
