def(THUMB_DEBUG),
def(HAVE_XTEST),
!def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
True,
!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
