!def(XShmGetEventBase),
def(HAVE_XTEST),
def(__linux__),
def(ENABLE_REMEMBER_INFO),
def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(HAVE_X86),
!def(HAVE_X86),
!def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
