!def(XShmGetEventBase),
def(HAVE_GTK_ONLY),
def(HAVE_HAL_0_5),
!def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_X86),
def(HAVE_X86),
def(THUMB_DEBUG),
def(HAVE_HAL),
True,
def(HAVE_HAL_0_2),
!def(HAVE_HAL),
def(DEBUG_ENCODINGS),
def(__linux__),
