!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
def(__linux__),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
def(HAVE_X86),
!def(HAVE_X86),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
True,
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
