!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
def(ENABLE_REMEMBER_INFO),
def(HAVE_X86),
!def(HAVE_X86),
True,
!def(XShmGetEventBase),
def(__linux__),
def(HAVE_XTEST),
def(THUMB_DEBUG),
