!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
def(__linux__),
!def(HAVE_X86),
True,
def(THUMB_DEBUG),
def(HAVE_XTEST),
