!def(HAVE_X86),
def(__linux__),
!def(XShmGetEventBase),
True,
def(HAVE_X86),
def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
