!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
def(THUMB_DEBUG),
def(HAVE_X86),
def(__linux__),
True,
def(HAVE_XTEST),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
