def(HAVE_XTEST),
!def(XShmGetEventBase),
def(HAVE_X86),
!def(HAVE_X86),
def(THUMB_DEBUG),
def(ENABLE_REMEMBER_INFO),
def(__linux__),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
True,
