!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
def(HAVE_XTEST),
def(HAVE_X86),
!def(HAVE_XTEST),
!def(XShmGetEventBase),
!def(HAVE_X86),
True,
def(ENABLE_REMEMBER_INFO),
