!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
def(__linux__),
def(THUMB_DEBUG),
def(HAVE_XTEST),
def(HAVE_X86),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
True,
